ter len 0 
bw5-rj_ac-01# show ac-config client | inc BW5-AP-
========= show sta status =========
AP    : ap name/radio id
Status: Speed/Power Save/Work Mode/Roaming State, E = enable power save, D = disable power save

Total Sta Num : 2447
STA MAC        IPV4 Address    AP                                       Wlan Vlan Status          Asso Auth       Net Auth        Up time     
-------------- --------------- ---------------------------------------- ---- ---- --------------- --------------- --------------- ------------
14ab.c574.91ea 192.168.12.104  BW5-AP-3F05/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:05:30
14ab.c574.9249 192.168.12.27   BW5-AP-B106/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:31:42
14ab.c574.924e 192.168.12.34   BW5-AP-2F01/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:49:47
14ab.c574.9276 192.168.12.23   BW5-AP-B105/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:34:08
14ab.c574.933e 192.168.14.8    BW5-AP-3F08/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:40:08
14ab.c574.93c0 192.168.14.94   BW5-AP-3F09/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:59:43
14ab.c574.941a 192.168.13.237  BW5-AP-2F01/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:14:50
14ab.c574.9456 192.168.13.69   BW5-AP-3F06/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:33:12
14ab.c574.947e 192.168.14.76   BW5-AP-2F02/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:03:40
14ab.c574.9483 192.168.14.9    BW5-AP-3F05/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:18:44
14ab.c574.94bf 192.168.14.64   BW5-AP-3F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:27:09
14ab.c574.94d8 192.168.12.16   BW5-AP-B104/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:02:02:49
14ab.c574.9514 192.168.14.21   BW5-AP-3F05/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:38:16
14ab.c574.95a0 192.168.12.48   BW5-AP-3F11/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:25:48
14ab.c574.95c3 192.168.14.112  BW5-AP-3F01/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:58:06
14ab.c574.95dc 192.168.12.56   BW5-AP-3F08/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:20:24
14ab.c574.95fa 192.168.14.144  BW5-AP-2F02/1                            8    25    117.0M/D/bgn   WPA2_PSK        OPEN              0:00:52:09
14ab.c574.9613 192.168.15.26   BW5-AP-3F03/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:25:08
14ab.c574.961d 192.168.15.76   BW5-AP-3F11/1                            8    25    130.0M/D/bgn   WPA2_PSK        OPEN              0:00:00:36
14ab.c574.964f 192.168.15.35   BW5-AP-2F02/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:48:51
14ab.c574.96b3 192.168.12.26   BW5-AP-3F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:49:14
14ab.c574.9780 192.168.14.97   BW5-AP-3F01/1                            8    25    104.0M/D/bgn   WPA2_PSK        OPEN              0:00:59:09
14ab.c574.978f 192.168.14.171  BW5-AP-2F02/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:50:36
14ab.c574.a1df 192.168.12.89   BW5-AP-3F02/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:09:36
14ab.c574.a34c 192.168.12.3    BW5-AP-2F01/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:39:54
14ab.c576.09bc 192.168.14.165  BW5-AP-3F11/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:14:24:05
14ab.c576.09df 192.168.12.53   BW5-AP-2F08/1                            8    25    104.0M/D/bgn   WPA2_PSK        OPEN              0:01:34:03
14ab.c576.0ad4 192.168.13.65   BW5-AP-1F07/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:42:19
14ab.c576.0ae3 192.168.12.127  BW5-AP-2F08/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:03:41
14ab.c576.0ae8 192.168.14.119  BW5-AP-2F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:56:13
14ab.c576.0aed 192.168.14.210  BW5-AP-1F04/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:38:51
14ab.c576.0b06 192.168.12.194  BW5-AP-3F11/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:47:32
14ab.c576.0b29 192.168.12.66   BW5-AP-3F10/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:32:02
14ab.c576.0b2e 192.168.12.28   BW5-AP-3F09/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:00:32:16
14ab.c576.0b47 192.168.12.52   BW5-AP-B102/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:13:58
14ab.c576.0b60 192.168.12.131  BW5-AP-2F11/1                            8    25     58.5M/D/bgn   WPA2_PSK        OPEN              0:01:26:17
14ab.c576.0b65 192.168.14.30   BW5-AP-3F02/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:51:44
14ab.c576.299c 192.168.13.81   BW5-AP-2F07/2                            8    25    104.0M/D/an    WPA2_PSK        OPEN              0:00:04:31
14ab.c576.29ab 192.168.12.112  BW5-AP-B102/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:36:37
14ab.c576.2a5f 192.168.14.115  BW5-AP-3F08/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:04:05
14ab.c576.2a6e 192.168.14.202  BW5-AP-1F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:04:45
14ab.c576.2a73 192.168.12.69   BW5-AP-3F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:16:03
14ab.c576.2a78 192.168.14.77   BW5-AP-1F04/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:03:15
14ab.c576.2ab9 192.168.14.63   BW5-AP-3F10/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:05:17
14ab.c576.2ad2 192.168.12.50   BW5-AP-3F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:23:34
14ab.c576.2b04 192.168.14.1    BW5-AP-2F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:50:09
14ab.c576.2b09 192.168.14.11   BW5-AP-2F10/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:10:10:56
14ab.c576.2b31 192.168.12.179  BW5-AP-3F04/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:44:16
14ab.c576.2bc2 192.168.12.123  BW5-AP-1F04/1                            8    25    117.0M/D/bgn   WPA2_PSK        OPEN              2:00:49:08
14ab.c576.2bcc 192.168.14.176  BW5-AP-3F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:49:59
14ab.c576.2c17 192.168.12.101  BW5-AP-3F10/1                            8    25    144.5M/D/bgn   WPA2_PSK        OPEN              0:01:05:54
14ab.c576.2c1c 192.168.14.50   BW5-AP-3F10/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:19:00
14b9.681b.0e78 192.168.12.214  BW5-AP-2F09/1                            8    25     72.5M/E/bgn   WPA2_PSK        OPEN              0:00:11:33
14bd.61dd.960a 192.168.14.104  BW5-AP-B101/1                            8    25     65.0M/E/bgn   WPA2_PSK        OPEN              0:00:10:13
14bd.61dd.d825 192.168.50.59   BW5-AP-3F02/2                            11   27    144.5M/E/an    WPA2_PSK        OPEN              0:01:08:20
14f6.5a88.1d46 192.168.13.90   BW5-AP-1F07/1                            8    25     72.5M/E/bgn   WPA2_PSK        OPEN              0:18:24:02
1859.3621.2919 192.168.50.7    BW5-AP-B106/1                            11   27     72.5M/E/bgn   WPA2_PSK        OPEN              0:00:08:10
1865.90d3.0377 192.168.12.165  BW5-AP-2F07/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:15:44
1865.90d3.082f 192.168.15.11   BW5-AP-1F08/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:41:17
1865.90d3.088d 192.168.13.105  BW5-AP-B101/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:12:36
1865.90d3.08a1 192.168.12.248  BW5-AP-1F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:12:27:23
1865.90d3.0923 192.168.13.229  BW5-AP-2F07/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:21:33
1865.90d3.0997 192.168.12.97   BW5-AP-1F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              1:16:01:20
1865.90d3.09bd 192.168.15.243  BW5-AP-2F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:33:48
1865.90d3.0cfb 192.168.14.139  BW5-AP-2F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:13:36:38
1865.90d3.0d1d 192.168.13.20   BW5-AP-1F08/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:13:15:52
1865.90d3.0d23 192.168.12.31   BW5-AP-1F03/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:19:33:37
1865.90d3.0d33 192.168.14.109  BW5-AP-2F08/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:00:52:20
1865.90d3.0d4f 192.168.15.64   BW5-AP-B101/2                            8    25    130.0M/E/an    WPA2_PSK        OPEN              0:00:41:00
1865.90d3.0d5b 192.168.14.123  BW5-AP-2F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              2:10:52:18
1865.90d3.0d61 192.168.12.148  BW5-AP-1F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:04:07:58
1865.90d3.0d75 192.168.12.149  BW5-AP-2F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:51:10
1865.90d3.0e59 192.168.14.157  BW5-AP-B104/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:09:02
1865.90d3.0edf 192.168.14.117  BW5-AP-2F06/1                            8    25     52.0M/E/bgn   WPA2_PSK        OPEN              0:00:28:43
1865.90d3.0f17 192.168.13.31   BW5-AP-1F03/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:19:07:32
1865.90d3.0f1b 192.168.58.22   BW5-AP-1F04/2                            17   17    144.5M/E/an    WPA2_1X         OPEN              0:07:03:26
1865.90d3.103b 192.168.12.145  BW5-AP-1F04/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:00:46:20
1865.90d3.1077 192.168.15.54   BW5-AP-1F06/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:47:19
1865.90d3.118d 192.168.14.62   BW5-AP-1F03/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:01:05:05
1865.90d3.11db 192.168.15.96   BW5-AP-1F09/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:22:48
1865.90d3.1247 192.168.12.38   BW5-AP-B102/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              1:17:59:58
1865.90d3.125b 192.168.14.226  BW5-AP-B102/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:00:33:52
1865.90d3.12e9 192.168.15.69   BW5-AP-2F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:20:31:34
1865.90d3.12fd 192.168.14.150  BW5-AP-B104/1                            8    25    144.5M/E/bgn   WPA2_PSK        OPEN              0:00:14:57
1865.90d3.1353 192.168.14.154  BW5-AP-1F10/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              2:10:52:33
1865.90d3.15a9 192.168.14.124  BW5-AP-1F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:00:48:16
1865.90d3.175d 192.168.13.22   BW5-AP-1F08/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:13:25:39
1865.90d3.176b 192.168.12.133  BW5-AP-3F04/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              0:01:02:23
1865.90d3.17cd 192.168.14.189  BW5-AP-1F07/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:46:17
1865.90d3.1859 192.168.13.56   BW5-AP-1F03/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:12:22
1865.90d3.1875 192.168.13.12   BW5-AP-2F07/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:17:09:50
1865.90d3.1897 192.168.12.22   BW5-AP-2F07/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:00:54:20
1865.90d3.1a73 192.168.12.217  BW5-AP-B110/2                            8    25    130.0M/D/an    WPA2_PSK        OPEN              0:00:14:51
1865.90d3.1b23 192.168.12.25   BW5-AP-2F07/2                            8    25    144.5M/D/an    WPA2_PSK        OPEN              0:13:24:09
1865.90d3.1b31 192.168.14.89   BW5-AP-1F07/2                            8    25    104.0M/E/an    WPA2_PSK        OPEN              0:01:05:02
1865.90d3.1b3b 192.168.12.252  BW5-AP-1F09/2                            8    25    144.5M/E/an    WPA2_PSK        OPEN              1:15:48:53
